entity_name,real_name,nationality,team,player_status,social_links
BallonG,Sebastian Eketrapp,Sweden,,Active,https://www.twitch.tv/ballong;https://twitter.com/ballongh1;None;None;Http://play.eslgaming.com/player/13338515
BanterStorm,Aiden Ramsay,Australia,,Active,https://www.twitch.tv/banterstorm;https://twitter.com/banterstorm;None;None;None
BAPE5,Vladislav Khivrenko,Russia,,Active,https://www.twitch.tv/ag_bape5;None;None;None;None
Barkadij,Arkadij Kraft,Germany,,Active,https://www.twitch.tv/barkadij;https://twitter.com/Baarkadij;None;http://www.youtube.com/user/MCafterEffectzoR;None
Barroth,Thanasak Nusing,Thailand,Overclock Esport,Active,None;None;None;None;None
Bastiaan,Muhammad Arie Rafly,Indonesia,Method2Madness,Active,https://www.twitch.tv/bastiaan0z;https://twitter.com/Bastiaan0Z;None;http://www.youtube.com/channel/UCq5fGGV4hQbXnXP3lb04tAw;None
Bazzi,Jeong Da-un,South Korea,,Retired,https://www.twitch.tv/ctu_bazzi;None;None;http://www.youtube.com/channel/UC53qaktv2Mm-DEA8JoC25xg/featured;None
bborton,Trevor Scarperi,United States,Void,Active,https://www.twitch.tv/bborton;https://twitter.com/bborton99;None;None;None
BBursty,Joseph Capobianco,United States,Team Razer,Active,https://www.twitch.tv/BBursty_;https://twitter.com/BBursty_;None;None;None
BcJ,Brendan Jensen,United States,,Retired,https://www.twitch.tv/thebcj;https://twitter.com/T1BcJ;None;None;None
bean,Matthew Campanale,United States,,Active,https://www.twitch.tv/1naeb;https://twitter.com/_YBEAN;None;None;None
bear,Will Marks,United States,,Active,https://www.twitch.tv/bear2366;https://twitter.com/bearOBS;None;None;None
BeaTzPB,Trystan Burke,Australia,,Retired,None;None;None;None;None
BeiBei,I-Ta Chen,Taiwan,,Active,https://www.twitch.tv/beibei69;https://twitter.com/BeiBeiTa2;http://facebook.com/people/貝貝達/100065057614087/;http://www.youtube.com/channel/UCWYvtS-4MwooD2Oj0kOa-SA;None
Beilin,Alec Mader,United States,,Retired,https://www.twitch.tv/beilin;https://twitter.com/beilin_gg;None;None;None
believerok,Alexander Vojtov,Russia,,Active,https://www.twitch.tv/believerxk;https://twitter.com/believerok1;None;None;None
Bellkun,Muhammad Iqbal Salis,Indonesia,XSpark,Active,https://www.twitch.tv/Bellkunx_;https://twitter.com/XBellkun;None;http://www.youtube.com/channel/UCq5fGGV4hQbXnXP3lb04tAw;None
BenMF,Ben Falconer,New Zealand,,Retired,https://www.twitch.tv/benmf;https://twitter.com/benmfalconer;None;None;None
Besiak,Daniel Bieliński,Poland,,Active,https://www.twitch.tv/besiak;https://twitter.com/Besiak1;None;None;None
Besk9,Hernandes Mateus dos Santos,Brazil,Team Singularity,Active,https://www.twitch.tv/Besk9;https://twitter.com/Besk9_;http://facebook.com/1Besk9;http://www.youtube.com/channel/UCyQZUiOPIRKbzenuDudXv6A;None
BigEKnows,Eric Leichliter,United States,,Retired,https://www.twitch.tv/BigEKnows;https://twitter.com/BigEKnows;None;None;None
Bigzzy,Thoriq Sultan,Indonesia,NXL WOLFPACK,Active,https://www.twitch.tv/bigzzyx;https://twitter.com/BigzzyX;None;http://www.youtube.com/channel/UC1TDknjwzDz3Lyqx9QxVmBw;None
Bin,Matheus Oliveira Ribeiro,Brazil,Elevate,Active,https://www.twitch.tv/B1NNfps;https://twitter.com/_B1Nn_;http://facebook.com/XxxMr.BinxxX;http://www.youtube.com/channel/UCteNxGBBr9KA798EfoNDzYQ;None
bird,Mitchell Guernica,United States,,Retired,https://www.twitch.tv/bird;https://twitter.com/birdONtwitch;None;http://www.youtube.com/birdfpsgod;Http://play.eslgaming.com/player/12005094
Birdtv,Warut Rattarach,Thailand,,Retired,None;None;http://facebook.com/Janbirdtv;None;None
